City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,13.23,91,100,8.99,NZ,1685909720
1,childress,34.4264,-100.204,27.14,47,20,3.44,US,1685909720
2,tara,56.8944,74.371,20.89,60,0,4.97,RU,1685909720
3,constantia,44.1833,28.65,13.38,53,95,9.91,RO,1685909645
4,polyarnyy,69.1989,33.4478,4.48,68,100,11.65,RU,1685909133
5,edinburgh of the seven seas,-37.0676,-12.3116,14.27,92,100,46.44,SH,1685909721
6,ugoofaaru,5.6667,73.0,28.02,80,100,21.9,MV,1685909722
7,port-aux-francais,-49.35,70.2167,7.55,94,100,38.54,TF,1685909722
8,grytviken,-54.2811,-36.5092,-0.48,95,98,7.61,GS,1685909722
9,adamstown,-25.066,-130.1015,21.95,71,45,11.32,PN,1685909723
10,lumphat,13.4878,106.9816,23.43,99,100,2.08,KH,1685909723
11,lompoc,34.6391,-120.4579,23.72,81,40,5.75,US,1685909231
12,ushuaia,-54.8,-68.3,1.81,75,0,5.75,AR,1685909723
13,st. john's,47.5649,-52.7093,5.66,97,100,10.36,CA,1685909720
14,vanersborg,58.3807,12.3234,13.97,67,9,1.14,SE,1685909724
15,lebu,-37.6167,-73.65,12.02,65,98,5.44,CL,1685909380
16,hithadhoo,-0.6,73.0833,28.37,73,100,7.9,MV,1685909725
17,nadi,-17.8,177.4167,24.0,78,20,6.91,FJ,1685909725
18,tual,-5.6667,132.75,27.27,80,39,17.38,ID,1685909616
19,pacific grove,36.6177,-121.9166,21.23,81,100,10.36,US,1685909475
20,thunder bay,48.4001,-89.3168,26.95,47,75,10.36,CA,1685909446
21,hammerfest,70.6634,23.6821,7.25,81,75,3.44,NO,1685909727
22,yellowknife,62.456,-114.3525,23.29,53,75,15.99,CA,1685909727
23,sungai penuh,-2.0833,101.3833,18.23,98,85,1.5,ID,1685909727
24,vilyuchinsk,52.9306,158.4028,9.15,92,100,9.66,RU,1685909728
25,weno,7.4515,151.8468,25.97,100,40,0.0,FM,1685909728
26,blackmans bay,-43.0167,147.3167,1.4,91,60,8.41,AU,1685909728
27,kapa'a,22.0752,-159.319,26.99,74,20,8.05,US,1685909729
28,mangrol,21.1167,70.1167,28.34,85,2,12.06,IN,1685909729
29,sohar,24.3643,56.7468,31.18,60,0,4.68,OM,1685909730
30,ceres,37.5949,-120.9577,34.18,30,0,4.61,US,1685909730
31,carnarvon,-24.8667,113.6333,19.49,67,39,10.27,AU,1685909730
32,punta arenas,-53.15,-70.9167,4.06,75,0,3.44,CL,1685909721
33,el calafate,-50.3408,-72.2768,2.16,71,100,6.13,AR,1685909731
34,ciudad melchor muzquiz,27.8833,-101.5167,29.63,43,13,5.59,MX,1685909544
